Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PRH2		2	2	515	0.4%	No
MEP1B		2	2	515	0.4%	No
TAL1		4	4	515	0.8%	Yes
PIPOX		3	3	515	0.6%	No
CFAP91		5	5	515	1.0%	No
PRIM1		2	2	515	0.4%	No
PRIM2		2	2	515	0.4%	No
TALDO1		4	2	515	0.4%	No
SLC25A21		4	4	515	0.8%	No
AQP10		3	3	515	0.6%	No
FBXO43		2	2	515	0.4%	No
TRIM15		3	3	515	0.6%	No
SEPTIN14		2	2	515	0.4%	No
CLEC7A		1	1	515	0.2%	No
MFGE8		3	3	515	0.6%	No
MELTF		7	7	515	1.4%	No
MFNG		2	2	515	0.4%	No
PRKAR1A		3	3	515	0.6%	Yes
ZNF598		6	6	515	1.2%	No
PRKAR1B		3	3	515	0.6%	No
SPOCD1		7	6	515	1.2%	No
MGAT1		4	3	515	0.6%	No
TFDP3		3	3	515	0.6%	No
BET1L		1	1	515	0.2%	No
UBAP1		2	2	515	0.4%	No
KLF3		5	5	515	1.0%	Yes
ZNF571		1	1	515	0.2%	No
PLCZ1		6	5	515	1.0%	No
DNAJC27		1	1	515	0.2%	No
PRKACA		4	4	515	0.8%	Yes
TAT		2	2	515	0.4%	No
SEC16B		11	10	515	1.9%	No
MFAP1		5	5	515	1.0%	No
PRKACB		4	4	515	0.8%	No
TARS1		6	6	515	1.2%	No
C1RL		1	1	515	0.2%	No
TCEAL8		1	1	515	0.2%	No
PRKACG		2	2	515	0.4%	No
MFAP3		3	3	515	0.6%	No
TBX1		1	1	515	0.2%	No
MFAP4		1	1	515	0.2%	No
PRKCD		4	4	515	0.8%	No
DYNC2I2		3	3	515	0.6%	No
PRKCE		4	4	515	0.8%	No
KBTBD6		5	4	515	0.8%	No
PRKCG		12	12	515	2.3%	No
PRKCH		4	4	515	0.8%	No
MIA2		8	8	515	1.6%	No
PRKCI		3	3	515	0.6%	Yes
KITLG		1	1	515	0.2%	No
PKN1		8	8	515	1.6%	No
MGMT		5	5	515	1.0%	No
PKN2		4	4	515	0.8%	No
GIGYF1		6	6	515	1.2%	No
MGP		1	1	515	0.2%	No
PRKD1		15	15	515	2.9%	Yes
MOSPD3		1	1	515	0.2%	No
ANKMY1		6	6	515	1.2%	No
GOLM1		4	4	515	0.8%	No
SCAND1		1	1	515	0.2%	No
RASL12		2	2	515	0.4%	No
TLR7		8	8	515	1.6%	No
RXFP3		5	5	515	1.0%	No
PRKAR2B		3	3	515	0.6%	No
MGAT2		2	2	515	0.4%	No
PRKCA		7	7	515	1.4%	No
MGAT3		4	4	515	0.8%	No
PRKCB		7	7	515	1.4%	No
MGAT5		4	4	515	0.8%	No
TMEM116		1	1	515	0.2%	No
TSPY2		2	2	515	0.4%	No
PRKDC		31	29	515	5.6%	Yes
CIITA		14	13	515	2.5%	Yes
PRKG1		7	7	515	1.4%	No
PRKG2		2	2	515	0.4%	No
MAPK1		9	9	515	1.7%	Yes
MAPK3		1	1	515	0.2%	Yes
MAPK4		7	7	515	1.4%	No
MAPK6		3	3	515	0.6%	No
MAPK7		6	6	515	1.2%	No
ZNF697		2	2	515	0.4%	No
ERGIC2		1	1	515	0.2%	No
GMPR2		3	3	515	0.6%	No
PRKCZ		3	3	515	0.6%	No
GMIP		11	9	515	1.7%	No
PCDH12		6	6	515	1.2%	No
SLC15A3		1	1	515	0.2%	No
ECSIT		3	3	515	0.6%	No
THEG		4	4	515	0.8%	No
BPIFA1		4	4	515	0.8%	No
NRN1		1	1	515	0.2%	No
IFTAP		2	2	515	0.4%	No
MGST1		1	1	515	0.2%	No
PRKCQ		8	8	515	1.6%	No
PRKCSH		1	1	515	0.2%	No
ZNF628		2	2	515	0.4%	No
MGST3		2	1	515	0.2%	No
SLAMF9		2	2	515	0.4%	No
FATE1		1	1	515	0.2%	No
LHX4		2	2	515	0.4%	No
TPD52L3		1	1	515	0.2%	No
MICB		3	3	515	0.6%	No
MAPK8		3	3	515	0.6%	No
CXCL9		3	3	515	0.6%	No
MIP		3	2	515	0.4%	No
MIPEP		2	2	515	0.4%	No
MITF		5	5	515	1.0%	Yes
ATXN3		6	6	515	1.2%	No
MKI67		25	24	515	4.7%	Yes
MKLN1		5	5	515	1.0%	No
MID1		3	3	515	0.6%	No
MAP3K9		9	9	515	1.7%	No
MAP3K10		5	5	515	1.0%	No
MLN		1	1	515	0.2%	No
MAP3K11		4	4	515	0.8%	No
KMT2A		25	25	515	4.9%	Yes
ADAD1		8	7	515	1.4%	No
MLLT1		2	2	515	0.4%	Yes
AFF1		11	9	515	1.7%	Yes
USP41		1	1	515	0.2%	No
MLH1		5	5	515	1.0%	Yes
FXYD7		1	1	515	0.2%	No
RIPPLY3		1	1	515	0.2%	No
FXYD5		4	4	515	0.8%	No
P2RY13		3	3	515	0.6%	No
GMEB2		5	4	515	0.8%	No
ZFP42		9	9	515	1.7%	No
PITPNC1		3	3	515	0.6%	No
SPAG8		5	5	515	1.0%	No
IGKV6D-41		3	3	515	0.6%	No
IL20RB		3	3	515	0.6%	No
FGFRL1		5	5	515	1.0%	No
GPR84		1	1	515	0.2%	No
IL20RA		2	2	515	0.4%	No
C11ORF24		2	2	515	0.4%	No
C12ORF60		3	3	515	0.6%	No
NUP43		2	2	515	0.4%	No
IGLC7		1	1	515	0.2%	No
TRIM34		5	4	515	0.8%	No
CDHR5		4	4	515	0.8%	No
TMCO5A		3	3	515	0.6%	No
CLDN22		2	2	515	0.4%	No
SPATA8		2	2	515	0.4%	No
DND1		1	1	515	0.2%	No
CAMSAP1		2	2	515	0.4%	No
HCN1		26	26	515	5.0%	No
BIVM-ERCC5		8	8	515	1.6%	No
CPEB1		5	5	515	1.0%	No
NRG4		2	2	515	0.4%	No
IGLV2-8		1	1	515	0.2%	No
IGLV2-33		1	1	515	0.2%	No
IGLV2-14		1	1	515	0.2%	No
IGLV2-18		1	1	515	0.2%	No
TEKT3		6	5	515	1.0%	No
ZDHHC2		1	1	515	0.2%	No
OR51A7		2	2	515	0.4%	No
CPA4		2	2	515	0.4%	No
NUSAP1		1	1	515	0.2%	No
DDX47		2	1	515	0.2%	No
ACP6		4	4	515	0.8%	No
DUSP13		2	2	515	0.4%	No
GP6		3	3	515	0.6%	No
OR51L1		2	2	515	0.4%	No
RAB9B		1	1	515	0.2%	No
CLDN18		3	3	515	0.6%	No
IGLJ5		1	1	515	0.2%	No
IGLV1-47		1	1	515	0.2%	No
IGLV1-50		3	3	515	0.6%	No
IGLV1-36		3	3	515	0.6%	No
OR52E2		6	6	515	1.2%	No
OR52J3		4	4	515	0.8%	No
PPP1R3F		2	2	515	0.4%	No
LUZP4		4	4	515	0.8%	No
TAFA1		2	2	515	0.4%	No
NKAIN3		3	3	515	0.6%	No
ZNF474		1	1	515	0.2%	No
TCTE1		4	4	515	0.8%	No
ELOA2		7	7	515	1.4%	No
CHRFAM7A		1	1	515	0.2%	No
GLTP		1	1	515	0.2%	No
CD300LD		1	1	515	0.2%	No
IGLV3-12		1	1	515	0.2%	No
PHF20		8	7	515	1.4%	No
PIP4P1		1	1	515	0.2%	No
CRIM1		3	3	515	0.6%	No
VRK3		2	2	515	0.4%	No
EMC4		1	1	515	0.2%	No
DRICH1		1	1	515	0.2%	No
KCNK17		1	1	515	0.2%	No
ANKRD39		1	1	515	0.2%	No
ANGEL2		4	4	515	0.8%	No
SLC6A18		4	4	515	0.8%	No
SGSM1		4	4	515	0.8%	No
ZPLD1		6	6	515	1.2%	No
SNRNP48		2	2	515	0.4%	No
PLA2G2D		2	2	515	0.4%	No
ANO5		21	20	515	3.9%	No
SPIN3		3	3	515	0.6%	No
FBXO4		3	3	515	0.6%	No
ANKRD24		3	3	515	0.6%	No
ZNF721		6	5	515	1.0%	No
FBXO3		1	1	515	0.2%	No
VPS33B		7	7	515	1.4%	No
HIBCH		2	2	515	0.4%	No
SACS		18	18	515	3.5%	No
TINF2		3	3	515	0.6%	No
LYZL4		1	1	515	0.2%	No
DOCK8-AS1		2	2	515	0.4%	No
KLHL40		2	2	515	0.4%	No
ZNF525		3	3	515	0.6%	No
CLDN17		3	3	515	0.6%	No
ERAL1		1	1	515	0.2%	No
TENT5D		6	6	515	1.2%	No
ARFGAP3		4	4	515	0.8%	No
PPP1R18		4	4	515	0.8%	No
AK5		16	16	515	3.1%	No
FGF20		1	1	515	0.2%	No
IL1RAPL2		12	10	515	1.9%	No
ZNF280A		7	6	515	1.2%	No
BLOC1S6		2	2	515	0.4%	No
FBXW8		3	2	515	0.4%	No
KCNG2		3	3	515	0.6%	No
OPTC		1	1	515	0.2%	No
BMPER		10	10	515	1.9%	No
CLEC4E		5	5	515	1.0%	No
CABYR		2	2	515	0.4%	No
FBXL14		1	1	515	0.2%	No
FBXO8		5	5	515	1.0%	No
FBXO9		2	2	515	0.4%	No
KHDRBS2		12	11	515	2.1%	No
CACUL1		1	1	515	0.2%	No
FBXO24		5	5	515	1.0%	No
FBXO25		4	4	515	0.8%	No
FBXO22		1	1	515	0.2%	No
OR51F2		1	1	515	0.2%	No
OR52R1		3	2	515	0.4%	No
SLC16A13		3	3	515	0.6%	No
FBXO10		6	6	515	1.2%	No
SLC13A4		2	2	515	0.4%	No
C10ORF82		1	1	515	0.2%	No
MS4A13		2	2	515	0.4%	No
OR51S1		5	5	515	1.0%	No
EMID1		4	3	515	0.6%	No
FBXL4		3	3	515	0.6%	No
LCE2B		1	1	515	0.2%	No
IGKV1D-43		7	7	515	1.4%	No
IGKV1D-42		5	5	515	1.0%	No
TIAM2		15	15	515	2.9%	No
SPEM2		11	10	515	1.9%	No
LRRC29		1	1	515	0.2%	No
FBXL5		3	3	515	0.6%	No
FBXL6		2	2	515	0.4%	No
LIN54		5	4	515	0.8%	No
OR2L2		8	8	515	1.6%	No
KLHL3		2	2	515	0.4%	No
OR2K2		3	3	515	0.6%	No
LRRC45		3	3	515	0.6%	No
FAM50B		2	2	515	0.4%	No
OR2M4		6	6	515	1.2%	No
SPATA18		5	5	515	1.0%	No
ACMSD		5	5	515	1.0%	No
IGKV3D-15		4	4	515	0.8%	No
IGKV3D-11		3	3	515	0.6%	No
OR1J4		4	4	515	0.8%	No
IGKV6D-21		1	1	515	0.2%	No
SLC39A11		1	1	515	0.2%	No
IGKV3D-20		3	3	515	0.6%	No
OR2B6		8	8	515	1.6%	No
OR2F1		5	5	515	1.0%	No
ICA1L		1	1	515	0.2%	No
ARL5A		2	2	515	0.4%	No
FBXL3		1	1	515	0.2%	No
PHGDH		2	1	515	0.2%	No
B3GAT3		5	5	515	1.0%	No
IGKV2D-30		4	4	515	0.8%	No
IGKV2D-24		5	5	515	1.0%	No
IGKV2D-29		2	1	515	0.2%	No
IGKV2D-28		1	1	515	0.2%	No
PPDPFL		1	1	515	0.2%	No
SERPINA7		4	4	515	0.8%	No
FAM153B		1	1	515	0.2%	No
TBCE		5	5	515	1.0%	No
TBP		1	1	515	0.2%	No
TBL1X		6	6	515	1.2%	No
TBX2		4	4	515	0.8%	No
CNTN2		8	8	515	1.6%	No
TAZ		2	2	515	0.4%	No
TBCD		4	4	515	0.8%	No
TBCC		2	2	515	0.4%	No
MMS22L		3	3	515	0.6%	No
TCEA1		3	3	515	0.6%	Yes
TBXAS1		5	5	515	1.0%	No
TCEA2		3	3	515	0.6%	No
TBX6		4	4	515	0.8%	No
TBX5		4	4	515	0.8%	No
TBX15		3	3	515	0.6%	No
TBXA2R		2	2	515	0.4%	No
WASHC2C		6	5	515	1.0%	No
HNF1B		7	7	515	1.4%	No
HNF1A		4	4	515	0.8%	Yes
TCF3		2	2	515	0.4%	Yes
RANBP3L		4	4	515	0.8%	No
TCEA3		1	1	515	0.2%	No
ELOC		2	2	515	0.4%	Yes
ELOA		1	1	515	0.2%	No
TBX3		3	3	515	0.6%	Yes
TCF4		3	3	515	0.6%	No
ZNF354A		3	3	515	0.6%	No
MAP2K5		3	3	515	0.6%	No
TCF15		1	1	515	0.2%	No
MAP2K6		2	2	515	0.4%	No
TCF12		3	3	515	0.6%	Yes
MAP2K7		2	2	515	0.4%	No
MAPK11		1	1	515	0.2%	No
MAPK9		4	4	515	0.8%	No
MAPK10		5	5	515	1.0%	No
TCF7		2	2	515	0.4%	No
MAPK13		6	6	515	1.2%	No
ZEB1		8	8	515	1.6%	No
MAP2K1		5	5	515	1.0%	Yes
TCF7L2		1	1	515	0.2%	Yes
MAP2K2		6	6	515	1.2%	Yes
MAP2K3		4	4	515	0.8%	No
GCFC2		3	3	515	0.6%	No
PRM2		3	3	515	0.6%	No
TCP1		1	1	515	0.2%	No
CCDC138		3	3	515	0.6%	No
PRLR		9	8	515	1.6%	No
TCOF1		9	8	515	1.6%	No
EIF2AK2		1	1	515	0.2%	No
TCF20		7	7	515	1.4%	No
DNAJC3		2	2	515	0.4%	No
THAP12		8	8	515	1.6%	No
VPS72		1	1	515	0.2%	No
PRKX		1	1	515	0.2%	No
TCF21		4	4	515	0.8%	No
AGO4		8	8	515	1.6%	No
TCN2		2	2	515	0.4%	No
PRL		3	3	515	0.6%	No
TCN1		5	5	515	1.0%	No
PRPS1		4	4	515	0.8%	No
BBS12		2	2	515	0.4%	No
SPATA5		5	5	515	1.0%	No
PROX1		14	13	515	2.5%	No
PRNP		1	1	515	0.2%	No
TCP10L3		2	2	515	0.4%	No
PSPN		1	1	515	0.2%	No
PROC		3	3	515	0.6%	No
TCP11		3	3	515	0.6%	No
PROP1		1	1	515	0.2%	No
TRAV6		2	2	515	0.4%	No
PROS1		10	10	515	1.9%	No
SCAMP5		2	2	515	0.4%	No
WDR27		3	3	515	0.6%	No
TRGJP		1	1	515	0.2%	No
LGMN		2	2	515	0.4%	No
MME		16	16	515	3.1%	No
ADGRF3		3	3	515	0.6%	No
AFDN		9	9	515	1.7%	Yes
MLLT6		6	6	515	1.2%	Yes
EBF3		8	8	515	1.6%	No
FOXO4		2	2	515	0.4%	Yes
PRPS2		2	2	515	0.4%	No
TRGC1		4	4	515	0.8%	No
PRPSAP1		1	1	515	0.2%	No
PRPSAP2		2	2	515	0.4%	No
NR3C2		8	7	515	1.4%	No
TRGC2		8	8	515	1.6%	No
PRRG1		4	4	515	0.8%	No
TRPM1		6	6	515	1.2%	No
PRRG2		1	1	515	0.2%	No
TRGJ2		1	1	515	0.2%	No
KLK7		1	1	515	0.2%	No
MMP11		2	2	515	0.4%	No
TMPRSS15		5	5	515	1.0%	No
PRSS8		1	1	515	0.2%	Yes
MMP13		7	7	515	1.4%	No
KLK6		2	2	515	0.4%	No
TRGV9		2	2	515	0.4%	No
KRT24		6	5	515	1.0%	No
AGO3		10	10	515	1.9%	No
MMP1		5	5	515	1.0%	No
TECTB		6	6	515	1.2%	No
DAB2IP		6	5	515	1.0%	No
MMP2		5	5	515	1.0%	No
PRSS1		7	7	515	1.4%	Yes
TRGV2		4	4	515	0.8%	No
MMP3		2	2	515	0.4%	No
TRGV4		3	3	515	0.6%	No
TRGV3		2	2	515	0.4%	No
MMP7		1	1	515	0.2%	No
MMP8		5	5	515	1.0%	No
MASP1		9	9	515	1.7%	No
TRGV5		3	3	515	0.6%	No
MMP9		1	1	515	0.2%	No
RELN		53	48	515	9.3%	Yes
MMP10		7	7	515	1.4%	No
DYNLT2		1	1	515	0.2%	No
PSAP		3	3	515	0.6%	No
MN1		5	5	515	1.0%	Yes
MNAT1		1	1	515	0.2%	No
PSD		8	8	515	1.6%	No
PPP1R11		2	2	515	0.4%	No
MNDA		6	6	515	1.2%	No
PSEN1		2	2	515	0.4%	No
PSEN2		3	3	515	0.6%	No
GZMB		2	2	515	0.4%	No
GZMA		2	2	515	0.4%	No
GUCY2D		10	8	515	1.6%	No
MBTPS2		4	4	515	0.8%	No
CDC40		3	3	515	0.6%	No
HOOK1		4	4	515	0.8%	No
ZMYND10		1	1	515	0.2%	No
CHST15		5	5	515	1.0%	No
UBR5		20	19	515	3.7%	Yes
PLA1A		8	8	515	1.6%	No
MMP14		4	4	515	0.8%	No
HTRA1		2	2	515	0.4%	No
TEX264		3	3	515	0.6%	No
MMP15		4	4	515	0.8%	No
POP5		1	1	515	0.2%	No
MMP16		11	10	515	1.9%	No
ADCK2		4	4	515	0.8%	No
MMP17		2	2	515	0.4%	No
MMP19		1	1	515	0.2%	No
DHX57		4	4	515	0.8%	No
ALDH6A1		2	2	515	0.4%	No
RSPRY1		6	6	515	1.2%	No
PSG2		6	5	515	1.0%	No
MOG		3	3	515	0.6%	No
PSG3		6	6	515	1.2%	No
ANAPC1		9	9	515	1.7%	No
PSG4		6	4	515	0.8%	No
MOS		7	7	515	1.4%	No
PSG5		3	3	515	0.6%	No
MOV10		5	5	515	1.0%	No
ESAM		4	4	515	0.8%	No
PSG6		5	5	515	1.0%	No
H2AC8		5	5	515	1.0%	No
H1-6		4	4	515	0.8%	No
H1-5		8	8	515	1.6%	Yes
H1-4		4	4	515	0.8%	Yes
MRPS17		2	2	515	0.4%	No
H1-3		1	1	515	0.2%	Yes
H1-2		7	7	515	1.4%	Yes
SNX7		3	2	515	0.4%	No
ATRAID		1	1	515	0.2%	No
UCHL5		3	3	515	0.6%	No
GZMK		2	2	515	0.4%	No
TDGF1		1	1	515	0.2%	No
CRLF3		2	2	515	0.4%	No
MNT		2	2	515	0.4%	No
TDG		5	5	515	1.0%	No
ANGPT4		9	9	515	1.7%	No
MOBP		1	1	515	0.2%	No
TDO2		4	4	515	0.8%	No
MOCS1		1	1	515	0.2%	No
MOCS2		1	1	515	0.2%	No
PSG1		4	4	515	0.8%	No
PSG11		6	6	515	1.2%	No
MPI		3	3	515	0.6%	No
PSMA1		5	5	515	1.0%	No
CTAGE1		7	6	515	1.2%	No
MPL		6	5	515	1.0%	Yes
PSMA2		1	1	515	0.2%	No
MPO		6	6	515	1.2%	No
PSMA3		1	1	515	0.2%	No
MPP1		2	2	515	0.4%	No
MPP2		7	7	515	1.4%	No
PSMA5		1	1	515	0.2%	No
H1-1		1	1	515	0.2%	No
TMPRSS3		3	3	515	0.6%	No
H3-3B		2	2	515	0.4%	Yes
CSAD		4	4	515	0.8%	No
ATP6V1D		3	3	515	0.6%	No
WNT16		3	3	515	0.6%	No
H2BC3		3	3	515	0.6%	No
H2BC5		7	7	515	1.4%	Yes
EIF3L		5	5	515	1.0%	No
ZNF589		3	3	515	0.6%	No
H2AZ1		1	1	515	0.2%	No
NIP7		1	1	515	0.2%	No
H2AX		1	1	515	0.2%	No
PSG7		4	4	515	0.8%	No
RWDD1		1	1	515	0.2%	No
PSG9		1	1	515	0.2%	No
PSMB2		2	2	515	0.4%	No
MRC1		5	5	515	1.0%	No
PSMB3		1	1	515	0.2%	No
MRE11		3	3	515	0.6%	Yes
PSMB4		2	2	515	0.4%	No
PSMB5		2	2	515	0.4%	No
ABCC1		7	6	515	1.2%	No
IGFBPL1		2	2	515	0.4%	No
PSMB7		1	1	515	0.2%	No
PSMB8		2	2	515	0.4%	No
HARS1		2	2	515	0.4%	No
HAL		6	6	515	1.2%	No
HADH		4	4	515	0.8%	No
HADHB		4	3	515	0.6%	No
HADHA		4	4	515	0.8%	No
AIG1		1	1	515	0.2%	No
TRPV2		4	4	515	0.8%	No
HSD17B10		1	1	515	0.2%	No
COMMD10		1	1	515	0.2%	No
CERS6		1	1	515	0.2%	No
HABP2		2	2	515	0.4%	No
TRAPPC4		1	1	515	0.2%	No
MPP3		3	3	515	0.6%	No
PSMA6		2	2	515	0.4%	No
MPST		2	2	515	0.4%	No
MPV17		1	1	515	0.2%	No
PSMB1		1	1	515	0.2%	No
MPZ		2	2	515	0.4%	No
NUP35		1	1	515	0.2%	No
KIF24		6	6	515	1.2%	No
HBE1		1	1	515	0.2%	No
HBD		3	3	515	0.6%	No
HBM		1	1	515	0.2%	No
HBA2		2	2	515	0.4%	No
ZNF568		8	8	515	1.6%	No
HAS3		6	6	515	1.2%	No
HAS2		9	9	515	1.7%	No
B3GNT8		3	3	515	0.6%	No
HAS1		4	4	515	0.8%	No
PSMB9		1	1	515	0.2%	No
PSMB10		2	2	515	0.4%	No
KIFC2		4	4	515	0.8%	No
CREB3L1		4	4	515	0.8%	Yes
HCFC1		8	7	515	1.4%	No
SERPIND1		5	3	515	0.6%	No
HCCS		2	2	515	0.4%	No
ZNF488		3	2	515	0.4%	No
HBQ1		1	1	515	0.2%	No
HBG2		7	6	515	1.2%	No
HBG1		1	1	515	0.2%	No
ZNF251		6	6	515	1.2%	No
HCRT		1	1	515	0.2%	No
HDGF		3	3	515	0.6%	No
HDC		4	4	515	0.8%	No
ZNF773		3	3	515	0.6%	No
HDAC2		3	3	515	0.6%	No
HDAC1		1	1	515	0.2%	Yes
HTT		12	11	515	2.1%	No
HCRTR2		6	6	515	1.2%	No
HCRTR1		3	3	515	0.6%	No
HCLS1		2	2	515	0.4%	No
NCKAP1L		6	6	515	1.2%	No
HELLS		6	6	515	1.2%	No
CFHR1		3	3	515	0.6%	No
SERPINE3		2	2	515	0.4%	No
HFE		1	1	515	0.2%	No
CFH		18	17	515	3.3%	No
HEXA		4	4	515	0.8%	No
HDLBP		5	5	515	1.0%	No
HGF		10	10	515	1.9%	Yes
GEN1		5	5	515	1.0%	No
HGD		2	2	515	0.4%	No
CFHR2		3	3	515	0.6%	No
ACAD9		1	1	515	0.2%	No
MRPL42		1	1	515	0.2%	No
NRG1		2	2	515	0.4%	Yes
TMEM14A		1	1	515	0.2%	No
HGFAC		4	4	515	0.8%	No
PSTK		2	2	515	0.4%	No
SPCS1		2	2	515	0.4%	No
MRPS18B		1	1	515	0.2%	No
FTHL17		1	1	515	0.2%	No
CNTN5		14	13	515	2.5%	No
A4GALT		1	1	515	0.2%	No
FAM24A		2	2	515	0.4%	No
HIP1		12	11	515	2.1%	Yes
HIF1A		3	3	515	0.6%	Yes
HIC1		1	1	515	0.2%	No
NOB1		3	3	515	0.6%	No
VPS16		3	3	515	0.6%	No
DBNL		2	2	515	0.4%	No
C4ORF36		1	1	515	0.2%	No
HK2		6	6	515	1.2%	No
HK1		4	4	515	0.8%	No
HIVEP2		10	9	515	1.7%	No
HIVEP1		12	12	515	2.3%	No
NTMT1		1	1	515	0.2%	No
BTBD16		3	3	515	0.6%	No
UBQLNL		3	3	515	0.6%	No
TMPRSS11E		1	1	515	0.2%	No
IFT81		6	5	515	1.0%	No
LRRC37A3		8	8	515	1.6%	No
FLVCR1		4	4	515	0.8%	No
TMEM150A		1	1	515	0.2%	No
REM1		3	3	515	0.6%	No
UROC1		5	5	515	1.0%	No
CCDC22		1	1	515	0.2%	No
KRTAP22-1		1	1	515	0.2%	No
TMEM176B		2	2	515	0.4%	No
KRTAP21-1		1	1	515	0.2%	No
LAMTOR2		1	1	515	0.2%	No
KRTAP20-2		2	2	515	0.4%	No
MRPS28		2	2	515	0.4%	No
KRTAP20-1		2	2	515	0.4%	No
TRIB2		4	4	515	0.8%	No
TIMMDC1		3	3	515	0.6%	No
CYP39A1		3	3	515	0.6%	No
UBE3B		7	7	515	1.4%	No
GCNT4		3	3	515	0.6%	No
ZDHHC3		3	3	515	0.6%	No
FKBP11		2	2	515	0.4%	No
FAM13B		4	4	515	0.8%	No
KCNK9		4	4	515	0.8%	No
REEP2		1	1	515	0.2%	No
FAM53C		3	3	515	0.6%	No
SLC27A6		7	7	515	1.4%	No
GBGT1		4	4	515	0.8%	No
SNX24		1	1	515	0.2%	No
KRTAP19-2		1	1	515	0.2%	No
GIT1		5	5	515	1.0%	No
BZW2		1	1	515	0.2%	No
KRTAP6-2		1	1	515	0.2%	No
KRTAP6-1		2	2	515	0.4%	No
SLC6A16		5	4	515	0.8%	No
KRTAP19-7		2	2	515	0.4%	No
HNRNPA1L2		3	3	515	0.6%	No
TMPRSS9		4	4	515	0.8%	No
KRTAP19-3		3	2	515	0.4%	No
OSTM1		2	2	515	0.4%	No
TLR8		7	7	515	1.4%	No
DCPS		1	1	515	0.2%	No
SLC22A17		2	2	515	0.4%	No
GASK1B		7	6	515	1.2%	No
SLC25A37		2	2	515	0.4%	No
KRCC1		1	1	515	0.2%	No
NME8		14	12	515	2.3%	No
PHF21A		4	4	515	0.8%	No
PLAC8		1	1	515	0.2%	No
RSRC1		6	6	515	1.2%	No
GLT6D1		1	1	515	0.2%	No
CCDC178		5	4	515	0.8%	No
IGKV1-16		4	4	515	0.8%	No
ANKRD30B		14	13	515	2.5%	No
KRTAP13-2		7	7	515	1.4%	No
TPRA1		1	1	515	0.2%	No
ATP9B		5	5	515	1.0%	No
IGKV1-27		3	3	515	0.6%	No
KRTAP13-3		3	3	515	0.6%	No
MEX3C		2	2	515	0.4%	No
WAC		6	6	515	1.2%	No
CPSF2		6	6	515	1.2%	No
AMZ2		2	2	515	0.4%	No
SPG21		1	1	515	0.2%	No
PAPLN		2	2	515	0.4%	No
IGKJ2		1	1	515	0.2%	No
EBF2		4	4	515	0.8%	No
WDR64		3	3	515	0.6%	No
IGKV1-6		2	2	515	0.4%	No
MFSD14A		2	2	515	0.4%	No
ARL9		1	1	515	0.2%	No
STK33		8	8	515	1.6%	No
OSR2		2	2	515	0.4%	No
IGKV1-9		1	1	515	0.2%	No
IGKV1-8		1	1	515	0.2%	No
PLEKHA3		2	2	515	0.4%	No
IGKJ3		1	1	515	0.2%	No
SPANXD		5	5	515	1.0%	No
PHACTR4		3	2	515	0.4%	No
AASDH		5	5	515	1.0%	No
BMERB1		2	2	515	0.4%	No
IGKV1-12		1	1	515	0.2%	No
ZNF771		1	1	515	0.2%	No
SPTBN5		7	7	515	1.4%	No
PRR16		5	5	515	1.0%	No
THEM6		1	1	515	0.2%	No
DACT1		6	6	515	1.2%	No
MS4A4A		2	2	515	0.4%	No
IGKV2-30		1	1	515	0.2%	No
YJEFN3		2	1	515	0.2%	No
CAPRIN2		12	11	515	2.1%	No
BRD9		5	5	515	1.0%	No
GRAMD2B		3	3	515	0.6%	No
TMEM205		1	1	515	0.2%	No
CSRNP1		3	3	515	0.6%	No
ZSCAN18		7	7	515	1.4%	No
AACS		5	4	515	0.8%	No
ZBTB10		2	2	515	0.4%	No
DLK2		1	1	515	0.2%	No
ZNF747		5	5	515	1.0%	No
IGKV3-11		2	2	515	0.4%	No
NLRP11		15	12	515	2.3%	No
IGKV3-7		1	1	515	0.2%	No
IGKV3-20		3	3	515	0.6%	No
IGKV3-15		2	2	515	0.4%	No
CRNKL1		3	3	515	0.6%	No
SAPCD2		3	3	515	0.6%	No
ZBTB7A		4	3	515	0.6%	Yes
FZR1		5	5	515	1.0%	No
KLC4		3	3	515	0.6%	No
KLRF1		2	2	515	0.4%	No
TAOK3		4	4	515	0.8%	No
ANTKMT		1	1	515	0.2%	No
HSD11B1L		1	1	515	0.2%	No
DDRGK1		3	3	515	0.6%	No
SPANXC		1	1	515	0.2%	No
PEAK3		4	4	515	0.8%	No
RASL11B		1	1	515	0.2%	No
LRRC61		3	3	515	0.6%	No
ZNF699		4	4	515	0.8%	No
TEX45		1	1	515	0.2%	No
ZNF117		4	4	515	0.8%	No
KRT76		2	2	515	0.4%	No
GLB1L2		2	2	515	0.4%	No
RHOT2		5	4	515	0.8%	No
LIX1L		2	2	515	0.4%	No
ACVR1C		8	8	515	1.6%	No
KBTBD12		8	8	515	1.6%	No
PRSS35		1	1	515	0.2%	No
DNTTIP1		2	2	515	0.4%	No
SBSN		4	4	515	0.8%	No
PRICKLE2		7	7	515	1.4%	No
C1ORF131		1	1	515	0.2%	No
ZNF829		5	5	515	1.0%	No
SLC22A12		6	6	515	1.2%	No
HIPK1		6	6	515	1.2%	No
LCA5		8	8	515	1.6%	No
INTS6L		5	5	515	1.0%	No
ZNF449		7	7	515	1.4%	No
LRRC58		1	1	515	0.2%	No
LYSMD3		3	3	515	0.6%	No
C2ORF76		1	1	515	0.2%	No
